"","date","smlo_vwret","smme_vwret","smhi_vwret","bilo_vwret","bime_vwret","bihi_vwret","rf"
"103",20080930,-0.1087,-0.0709,-0.0713,-0.0963,-0.0978,-0.0456,0.0015
"104",20081031,-0.2183,-0.1935,-0.2033,-0.1505,-0.171,-0.2254,8e-04
"105",20081128,-0.1199,-0.1115,-0.1443,-0.0628,-0.0667,-0.137,3e-04
"106",20081231,0.0553,0.0407,0.0537,0.0222,0.0081,-3e-04,0
"107",20090130,-0.0752,-0.1051,-0.1594,-0.0456,-0.1059,-0.1586,0
"108",20090227,-0.0982,-0.1141,-0.1536,-0.0726,-0.1273,-0.1553,1e-04
"109",20090331,0.0913,0.1019,0.1142,0.0808,0.0942,0.1099,2e-04
"110",20090430,0.162,0.1657,0.1812,0.0734,0.1124,0.1627,1e-04
"111",20090529,0.0354,0.032,0.0242,0.0422,0.0648,0.0645,0
"112",20090630,0.0523,0.01,0.0153,0.0148,-0.0199,0.003,1e-04
"113",20090731,0.0675,0.1024,0.1446,0.0679,0.0852,0.0866,1e-04
"114",20090831,0.0101,0.0296,0.0918,0.0192,0.0391,0.0888,1e-04
"115",20090930,0.0682,0.057,0.0785,0.0358,0.0403,0.0533,1e-04
"116",20091030,-0.0678,-0.0644,-0.0942,-0.0058,-0.0271,-0.0668,0
"117",20091130,0.0173,0.02,0.0432,0.0671,0.0489,0.0447,0
"118",20091231,0.0846,0.0828,0.0856,0.0193,0.0275,0.0327,1e-04
"119",20100129,-0.0373,-0.0269,-0.0296,-0.0398,-0.025,-0.0355,0
"120",20100226,0.0363,0.0409,0.0755,0.0313,0.0317,0.0468,0
"121",20100331,0.0734,0.0812,0.0904,0.0539,0.0658,0.0779,1e-04
"122",20100430,0.0457,0.0632,0.0941,0.009,0.0216,0.0245,1e-04
"123",20100528,-0.0649,-0.0727,-0.1047,-0.0747,-0.0832,-0.0818,1e-04
"124",20100630,-0.0606,-0.0771,-0.1092,-0.0472,-0.0518,-0.0843,1e-04
"125",20100730,0.0679,0.0667,0.0775,0.0682,0.0755,0.0603,1e-04
"126",20100831,-0.0703,-0.0793,-0.0833,-0.0414,-0.0445,-0.0564,1e-04
"127",20100930,0.1396,0.1267,0.1104,0.1006,0.0877,0.0727,1e-04
"128",20101029,0.0468,0.0406,0.0374,0.0473,0.0336,0.0123,1e-04
"129",20101130,0.0314,0.0435,0.035,0.0059,0.0033,-0.0094,1e-04
"130",20101231,0.0736,0.0804,0.0953,0.0494,0.0815,0.095,1e-04
"131",20110131,-0.0042,-4e-04,0.0038,0.0189,0.0285,0.0249,1e-04
"132",20110228,0.049,0.0516,0.061,0.0257,0.0409,0.0481,1e-04
"133",20110331,0.0314,0.026,0.0236,8e-04,0.0136,-0.0145,1e-04
